path,layer,count,runtime_used
/home/vitus/floently-finnish/apps/backend/materials/cards/validated/floently_practical_nurse_grammar_cards.json,validated_materials,90,not_used_by_main_cards_router
/home/vitus/floently-finnish/apps/backend/materials/cards/validated/kielitaika_normalized_cards.json,validated_materials,1418,not_used_by_main_cards_router
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/cards/doctor_cards.json,external_compiled_bank,11507,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/cards/lahioitaja_cards.json,external_compiled_bank,9784,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/cards/nurse_cards.json,external_compiled_bank,7551,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/enriched_cards.json,external_compiled_bank,12629,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/filtered_cards.json,external_compiled_bank,12629,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/generated_cards.json,external_compiled_bank,21031,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/generated_exam.json,external_compiled_bank,0,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/vocab_doctor.json,external_compiled_bank,2105,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/vocab_doctor_augmented.json,external_compiled_bank,2770,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/vocab_doctor_clean.json,external_compiled_bank,496,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/vocab_doctor_final.json,external_compiled_bank,2757,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/vocab_lahioitaja.json,external_compiled_bank,1780,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/vocab_lahioitaja_augmented.json,external_compiled_bank,2388,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/vocab_lahioitaja_clean.json,external_compiled_bank,361,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/vocab_lahioitaja_final.json,external_compiled_bank,2376,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/vocab_nurse.json,external_compiled_bank,1373,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/vocab_nurse_augmented.json,external_compiled_bank,1847,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/vocab_nurse_clean.json,external_compiled_bank,346,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/vocab_nurse_final.json,external_compiled_bank,1843,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/vocabulary_full.json,external_compiled_bank,6115,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/vocabulary_full_clean.json,external_compiled_bank,6104,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/combined/yki_exercises.json,external_compiled_bank,50505,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/fraasit/lähihoitaja_fraasit/lähihoitaja_fraasit.json,external_compiled_bank,515,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/fraasit/lääkäri_fraasit/lääkäri_fraasit.json,external_compiled_bank,18,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/fraasit/sairaanhoitaja_fraasit/sairaanhoitaja_fraasit.json,external_compiled_bank,53,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/kielioppi/lähihoitaja_kielioppi/lähihoitaja_kielioppi.json,external_compiled_bank,124,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/kielioppi/lääkäri_kielioppi/lääkäri_kielioppi.json,external_compiled_bank,60,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/kielioppi/sairaanhoitaja_kielioppi/sairaanhoitaja_kielioppi.json,external_compiled_bank,60,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/new_practice/consolidated_combined_output.json,external_compiled_bank,0,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/new_practice/finnish_grammar_content_pack__v1.json,external_compiled_bank,90,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/new_practice/finnish_grammar_study_index__v1.json,external_compiled_bank,0,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/new_practice/sanasto/nursing_vocab_content_pack__v1.json,external_compiled_bank,3300,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/new_practice/sanasto/nursing_vocab_corpus__v1.json,external_compiled_bank,3300,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/new_practice/sanasto/nursing_vocab_speaking_rubrics__v1.json,external_compiled_bank,0,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/new_practice/sanasto/nursing_vocab_study_index__v1.json,external_compiled_bank,0,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/new_practice/sanasto/sentences/speaking_content_pack__v1.json,external_compiled_bank,1620,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/new_practice/sanasto/sentences/speaking_phrase_corpus__v1.json,external_compiled_bank,0,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/new_practice/sanasto/sentences/speaking_speaking_rubrics__v1.json,external_compiled_bank,0,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/new_practice/sanasto/sentences/speaking_study_index__v1.json,external_compiled_bank,0,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/new_practice/the_finnish_grammar.json,external_compiled_bank,-1,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/sanasto/lähihoitaja_sanasto/lähihoitaja_sanasto.json,external_compiled_bank,147,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/sanasto/lääkäri_sanasto/lääkäri_sanasto.json,external_compiled_bank,264,no
/home/vitus/Asiakirjat/project_documents/floently-finnish/complied_card_materials/sanasto/sairaanhoitaja_sanasto/sairaanhoitaja_sanasto.json,external_compiled_bank,184,no
